18811449050--bert_finetuning_test	aditeyabaral--finetuned-sail2017-xlm-roberta-base	albert-base-v2	aliosm--sha3bor-metre-detector-arabertv2-base	Alireza1044--albert-base-v2-qnli	anirudh21--bert-base-uncased-finetuned-qnli	aviator-neural--bert-base-uncased-sst2	aychang--bert-base-cased-trec-coarse	bert-base-uncased	bondi--bert-semaphore-prediction-w4	CAMeL-Lab--bert-base-arabic-camelbert-da-sentiment	CAMeL-Lab--bert-base-arabic-camelbert-mix-did-nadi	classla--bcms-bertic-parlasent-bcs-ter	connectivity--bert_ft_qqp-1	connectivity--bert_ft_qqp-17	connectivity--bert_ft_qqp-7	connectivity--bert_ft_qqp-96	dhimskyy--wiki-bert	distilbert-base-uncased	DoyyingFace--bert-asian-hate-tweets-asian-unclean-freeze-4	emrecan--bert-base-multilingual-cased-snli_tr	gchhablani--bert-base-cased-finetuned-rte	gchhablani--bert-base-cased-finetuned-wnli	ishan--bert-base-uncased-mnli	jb2k--bert-base-multilingual-cased-language-detection	Jeevesh8--512seq_len_6ep_bert_ft_cola-91	Jeevesh8--6ep_bert_ft_cola-47	Jeevesh8--bert_ft_cola-88	Jeevesh8--bert_ft_qqp-40	Jeevesh8--bert_ft_qqp-68	Jeevesh8--bert_ft_qqp-9	Jeevesh8--feather_berts_46	Jeevesh8--init_bert_ft_qqp-24	Jeevesh8--init_bert_ft_qqp-33	manueltonneau--bert-twitter-en-is-hired	roberta-base	socialmediaie--TRAC2020_IBEN_B_bert-base-multilingual-uncased	Splend1dchan--bert-base-uncased-slue-goldtrascription-e3-lr1e-4	XSY--albert-base-v2-imdb-calssification
0.35	0.37	0.46	-0.04	0.43	0.49	0.32	0.41	0.48	0.04	0.07	0.06	0.13	0.44	0.44	0.34	0.42	0.03	0.31	0.48	0.25	0.46	0.48	0.45	0.04	0.59	0.61	0.59	0.46	0.37	0.47	0.44	0.44	0.42	0.42	0.33	0.2	0.49	0.19
0.86	0.84	0.9	0.62	0.87	0.89	0.9	0.87	0.89	0.72	0.51	0.65	0.75	0.89	0.88	0.88	0.89	0.68	0.85	0.89	0.79	0.87	0.85	0.9	0.76	0.88	0.88	0.88	0.88	0.88	0.89	0.9	0.87	0.88	0.89	0.92	0.79	0.88	0.89
0.82	0.89	0.89	0.85	0.88	0.84	0.8	0.78	0.86	0.79	0.76	0.85	0.82	0.86	0.87	0.76	0.85	0.76	0.86	0.85	0.86	0.85	0.82	0.84	0.76	0.83	0.82	0.84	0.84	0.87	0.85	0.85	0.84	0.87	0.82	0.89	0.87	0.83	0.76
0.67	0.71	0.74	0.67	0.74	0.72	0.7	0.7	0.72	0.66	0.58	0.67	0.71	0.88	0.87	0.87	0.88	0.58	0.72	0.72	0.72	0.69	0.7	0.75	0.66	0.7	0.71	0.72	0.88	0.87	0.88	0.75	0.87	0.87	0.7	0.76	0.72	0.71	0.71
0.78	0.8	0.83	0.78	0.91	0.83	0.77	0.78	0.8	0.79	0.56	0.78	0.8	0.8	0.79	0.8	0.81	0.55	0.78	0.8	0.78	0.8	0.8	0.82	0.79	0.8	0.79	0.79	0.8	0.8	0.8	0.82	0.8	0.81	0.79	0.85	0.82	0.79	0.82
0.57	0.61	0.69	0.6	0.74	0.66	0.53	0.62	0.62	0.58	0.53	0.57	0.57	0.7	0.7	0.63	0.68	0.53	0.6	0.65	0.7	0.65	0.62	0.78	0.6	0.6	0.59	0.6	0.73	0.64	0.71	0.74	0.65	0.63	0.6	0.66	0.68	0.62	0.64
0.55	0.45	0.5	0.44	0.49	0.45	0.54	0.57	0.49	0.45	0.49	0.49	0.55	0.55	0.46	0.46	0.44	0.53	0.55	0.51	0.49	0.56	0.46	0.49	0.41	0.53	0.45	0.49	0.54	0.47	0.5	0.45	0.42	0.43	0.45	0.45	0.51	0.54	0.47
0.57	0.6	0.59	0.56	0.63	0.6	0.51	0.56	0.58	0.56	0.5	0.55	0.54	0.56	0.57	0.61	0.59	0.53	0.57	0.58	0.56	0.57	0.59	0.58	0.55	0.62	0.62	0.6	0.59	0.59	0.58	0.57	0.61	0.58	0.59	0.65	0.54	0.57	0.55
0.64	0.66	0.71	0.61	0.71	0.5	0.48	0.68	0.66	0.55	0.64	0.62	0.41	0.61	0.46	0.54	0.29	0.54	0.59	0.66	0.59	0.38	0.09	0.73	0.57	0.64	0.71	0.7	0.62	0.68	0.68	0.75	0.52	0.54	0.62	0.64	0.5	0.64	0.66
0.88	0.88	0.89	0.51	0.89	0.88	0.86	0.88	0.89	0.7	0.5	0.63	0.81	0.88	0.88	0.88	0.89	0.69	0.87	0.89	0.84	0.88	0.88	0.88	0.81	0.89	0.89	0.89	0.88	0.89	0.88	0.88	0.89	0.87	0.9	0.91	0.83	0.88	0.92
0.56	0.58	0.59	0.46	0.59	0.58	0.56	0.56	0.58	0.48	0.36	0.43	0.53	0.59	0.57	0.58	0.59	0.43	0.57	0.58	0.54	0.57	0.57	0.58	0.53	0.58	0.58	0.58	0.58	0.58	0.58	0.59	0.59	0.58	0.6	0.61	0.54	0.58	0.59
0.74	0.77	0.76	0.68	0.76	0.77	0.77	0.77	0.77	0.71	0.57	0.64	0.72	0.76	0.77	0.77	0.77	0.69	0.77	0.77	0.75	0.77	0.77	0.77	0.74	0.78	0.77	0.77	0.77	0.77	0.76	0.77	0.77	0.76	0.77	0.77	0.76	0.77	0.76
0.98	0.98	0.98	0.97	0.98	0.99	0.99	0.99	0.99	0.98	0.93	0.96	0.98	0.99	0.99	0.99	0.99	0.95	0.99	0.99	0.98	0.99	0.99	0.99	0.98	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.98
0.49	0.34	0.46	0.49	0.49	0.42	0.49	0.54	0.44	0.52	0.45	0.56	0.59	0.48	0.55	0.54	0.54	0.54	0.44	0.48	0.58	0.49	0.44	0.54	0.38	0.42	0.62	0.42	0.54	0.61	0.51	0.54	0.55	0.48	0.44	0.56	0.42	0.65	0.49
0.64	0.69	0.72	0.48	0.72	0.68	0.62	0.63	0.66	0.57	0.33	0.51	0.58	0.66	0.63	0.63	0.68	0.41	0.62	0.62	0.7	0.66	0.65	0.84	0.63	0.66	0.68	0.66	0.63	0.59	0.66	0.84	0.65	0.66	0.64	0.78	0.64	0.67	0.62
0.41	0.38	0.4	0.39	0.4	0.4	0.39	0.41	0.42	0.35	0.33	0.35	0.4	0.42	0.39	0.38	0.4	0.33	0.4	0.41	0.42	0.39	0.42	0.37	0.41	0.4	0.42	0.39	0.39	0.38	0.38	0.37	0.37	0.37	0.43	0.41	0.39	0.43	0.38
